canonical,bart,odds,schedule,espn
San Jose St.,San Jose St.,San Jose St.,San Jose St.,
Santa Clara,Santa Clara,Santa Clara,Santa Clara,
Seattle,Seattle,Seattle,Seattle,
Seton Hall,Seton Hall,Seton Hall,Seton Hall,
Siena,Siena,Siena,Siena,
South Alabama,South Alabama,South Alabama,South Alabama,
South Carolina,South Carolina,South Carolina,South Carolina,
South Carolina St.,South Carolina St.,South Carolina St.,South Carolina St.,
South Dakota,South Dakota,South Dakota,South Dakota,
South Dakota St.,South Dakota St.,South Dakota St.,South Dakota St.,
South Florida,South Florida,South Florida,South Florida,
Southeast Missouri St.,Southeast Missouri St.,Southeast Missouri St.,Southeast Missouri St.,
Southeastern Louisiana,Southeastern Louisiana,Southeastern Louisiana,Southeastern Louisiana,
Southern,Southern,Southern,Southern,
Southern Illinois,Southern Illinois,Southern Illinois,Southern Illinois,
Southern Indiana,Southern Indiana,Southern Indiana,Southern Indiana,
Southern Miss,Southern Miss,Southern Miss,Southern Miss,
Southern Utah,Southern Utah,Southern Utah,Southern Utah,
St. Bonaventure,St. Bonaventure,St. Bonaventure,St. Bonaventure,
St. John's,St. John's,St. John's,St. John's,
St. Thomas,St. Thomas,St. Thomas,St. Thomas,
Stanford,Stanford,Stanford,Stanford,
Stephen F. Austin,Stephen F. Austin,Stephen F. Austin,Stephen F. Austin,
Stetson,Stetson,Stetson,Stetson,
Stonehill,Stonehill,Stonehill,Stonehill,
Stony Brook,Stony Brook,Stony Brook,Stony Brook,
Syracuse,Syracuse,Syracuse,Syracuse,
TCU,TCU,TCU,TCU,
Tarleton St.,Tarleton St.,Tarleton St.,Tarleton St.,
Temple,Temple,Temple,Temple,
Tennessee,Tennessee,Tennessee,Tennessee,
Tennessee Martin,Tennessee Martin,Tennessee Martin,Tennessee Martin,
Tennessee St.,Tennessee St.,Tennessee St.,Tennessee St.,
Tennessee Tech,Tennessee Tech,Tennessee Tech,Tennessee Tech,
Texas,Texas,Texas,Texas,
Texas A&M,Texas A&M,Texas A&M,Texas A&M,
Texas A&M Corpus Chris,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Texas A&M Corpus Chris,
Texas Southern,Texas Southern,Texas Southern,Texas Southern,
Texas St.,Texas St.,Texas St.,Texas St.,
Texas Tech,Texas Tech,Texas Tech,Texas Tech,
The Citadel,The Citadel,The Citadel,The Citadel,
Toledo,Toledo,Toledo,Toledo,
Towson,Towson,Towson,Towson,
Troy,Troy,Troy,Troy,
Tulane,Tulane,Tulane,Tulane,
Tulsa,Tulsa,Tulsa,Tulsa,
UAB,UAB,UAB,UAB,
UC Davis,UC Davis,UC Davis,UC Davis,
UC Irvine,UC Irvine,UC Irvine,UC Irvine,
UC Riverside,UC Riverside,UC Riverside,UC Riverside,
UC San Diego,UC San Diego,UC San Diego,UC San Diego,
UC Santa Barbara,UC Santa Barbara,UC Santa Barbara,UC Santa Barbara,
UCF,UCF,UCF,UCF,
UCLA,UCLA,UCLA,UCLA,
UMBC,UMBC,UMBC,UMBC,
UMKC,UMKC,UMKC,UMKC,
UMass Lowell,UMass Lowell,UMass Lowell,UMass Lowell,
UNC Asheville,UNC Asheville,UNC Asheville,UNC Asheville,
UNC Greensboro,UNC Greensboro,UNC Greensboro,UNC Greensboro,
UNC Wilmington,UNC Wilmington,UNC Wilmington,UNC Wilmington,
UNLV,UNLV,UNLV,UNLV,
USC,USC,USC,USC,
USC Upstate,USC Upstate,USC Upstate,USC Upstate,
UT Arlington,UT Arlington,UT Arlington,UT Arlington,
UT Rio Grande Valley,UT Rio Grande Valley,UT Rio Grande Valley,UT Rio Grande Valley,
UTEP,UTEP,UTEP,UTEP,
UTSA,UTSA,UTSA,UTSA,
Utah,Utah,Utah,Utah,
Utah St.,Utah St.,Utah St.,Utah St.,
Utah Tech,Utah Tech,Utah Tech,Utah Tech,
Utah Valley,Utah Valley,Utah Valley,Utah Valley,
VCU,VCU,VCU,VCU,
VMI,VMI,VMI,VMI,
Valparaiso,Valparaiso,Valparaiso,Valparaiso,
Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,
Vermont,Vermont,Vermont,Vermont,
Villanova,Villanova,Villanova,Villanova,
Virginia,Virginia,Virginia,Virginia,
Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,
Wagner,Wagner,Wagner,Wagner,
Wake Forest,Wake Forest,Wake Forest,Wake Forest,
Washington,Washington,Washington,Washington,
Washington St.,Washington St.,Washington St.,Washington St.,
Weber St.,Weber St.,Weber St.,Weber St.,
West Georgia,West Georgia,West Georgia,West Georgia,
West Virginia,West Virginia,West Virginia,West Virginia,
Western Carolina,Western Carolina,Western Carolina,Western Carolina,
Western Illinois,Western Illinois,Western Illinois,Western Illinois,
Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,
Western Michigan,Western Michigan,Western Michigan,Western Michigan,
Wichita St.,Wichita St.,Wichita St.,Wichita St.,
William & Mary,William & Mary,William & Mary,William & Mary,
Winthrop,Winthrop,Winthrop,Winthrop,
Wisconsin,Wisconsin,Wisconsin,Wisconsin,
Wofford,Wofford,Wofford,Wofford,
Wright St.,Wright St.,Wright St.,Wright St.,
Wyoming,Wyoming,Wyoming,Wyoming,
Xavier,Xavier,Xavier,Xavier,
Yale,Yale,Yale,Yale,
Youngstown St.,Youngstown St.,Youngstown St.,Youngstown St.,
