MODEL_SPREAD,MARKET_LINE,RESULT,PROFIT
0.8045135395494807,-9.5,-1,-100.0
-8.097366884885583,3.0,-1,-100.0
-6.5413591820031005,-3.5,-1,-100.0
-3.4313925082130314,-12.5,1,90.9090909090909
1.944133264825231,-11.0,1,90.9090909090909
-0.33667731321116356,-4.5,-1,-100.0
-10.223147781318113,-2.5,1,90.9090909090909
1.0027302949511832,3.5,1,90.9090909090909
2.821152291674599,-24.0,-1,-100.0
2.591865889633743,-14.0,0,0.0
-1.0333445630532996,10.0,1,90.9090909090909
-5.327719466709917,14.0,1,90.9090909090909
-3.7016953057080375,-7.5,1,90.9090909090909
3.204856759655021,-7.0,1,90.9090909090909
-14.60845150348508,-2.0,1,90.9090909090909
-0.15498238079507054,-5.0,-1,-100.0
-4.369292302443009,-7.5,-1,-100.0
-8.532712486652267,-5.0,-1,-100.0
-4.003146340520994,1.0,1,90.9090909090909
-9.193614426343638,2.5,1,90.9090909090909
-11.057957972019063,4.0,0,0.0
-3.3622847069982615,10.0,-1,-100.0
-12.802636104185192,2.0,1,90.9090909090909
-11.272500242366158,5.5,1,90.9090909090909
7.8228744166380775,-19.0,-1,-100.0
-0.06837822708285479,-8.5,1,90.9090909090909
9.953210009407774,-26.5,1,90.9090909090909
0.7458418546922925,3.5,1,90.9090909090909
-1.6883766766952366,-6.0,1,90.9090909090909
-5.164481860782226,-12.5,1,90.9090909090909
2.4951078270084732,-11.5,1,90.9090909090909
-16.53369298461751,-1.5,-1,-100.0
6.021503029187107,-5.5,-1,-100.0
-10.253267706465843,-1.0,1,90.9090909090909
4.062824037590465,-4.5,-1,-100.0
-8.955498776649387,6.5,-1,-100.0
2.590351246566149,-4.0,1,90.9090909090909
-5.540333744550617,-9.0,-1,-100.0
4.321185025432419,-20.0,1,90.9090909090909
-8.279186031692783,4.0,-1,-100.0
-7.040913521403448,-2.0,-1,-100.0
-5.6680141224898595,7.0,-1,-100.0
5.847545761696457,-23.5,-1,-100.0
-3.2482829415761874,5.5,1,90.9090909090909
2.154095692782681,-8.5,1,90.9090909090909
1.8011486737442848,-10.0,1,90.9090909090909
-10.20978284555809,-5.0,0,0.0
-3.642748786399901,-7.0,1,90.9090909090909
-11.547285339023512,-6.0,1,90.9090909090909
-2.4514433433619107,-12.0,-1,-100.0
-11.31609030112852,13.0,-1,-100.0
2.575862503714566,-20.5,1,90.9090909090909
-5.947571741151956,2.5,-1,-100.0
-5.523241965084759,-9.5,1,90.9090909090909
