DATE,HOME,AWAY,MODEL_SPREAD,ACTUAL_MARGIN,RESULT
2024-02-17 22:30:00+00:00,alabama,arkansas pine bluff,2.3,-6,-1
2024-02-27 00:30:00+00:00,bethune cookman,alabama,3.76,6,1
2024-03-08 01:30:00+00:00,alabama,southern,2.86,-8,-1
2024-11-05 04:30:00+00:00,unlv,alabama,2.42,14,1
2024-11-10 22:00:00+00:00,lsu,alabama,2.91,13,1
2024-11-28 00:00:00+00:00,cincinnati,alabama,1.18,18,1
2024-12-04 01:00:00+00:00,smu,alabama,1.48,29,1
2024-12-05 20:30:00+00:00,southern miss,alabama,3.45,17,1
2024-12-20 23:30:00+00:00,alabama,delaware,4.07,-3,-1
2024-12-31 00:30:00+00:00,missouri,alabama,2.16,17,1
2023-01-06 00:00:00+00:00,holy cross,american,1.91,-5,-1
2023-01-11 23:00:00+00:00,army,american,3.52,12,1
2023-01-14 19:00:00+00:00,lehigh,american,3.74,16,1
2023-01-19 00:00:00+00:00,american,lafayette,3.79,-11,-1
2023-01-28 19:00:00+00:00,navy,american,2.21,-4,-1
2023-02-02 00:00:00+00:00,american,bucknell,2.97,-7,-1
2023-02-04 21:00:00+00:00,american,colgate,3.16,1,1
2023-02-11 19:00:00+00:00,american,holy cross,4.09,-8,-1
2023-02-14 00:00:00+00:00,bucknell,american,3.03,22,1
2023-02-18 19:00:00+00:00,american,lehigh,2.26,-3,-1
2023-02-23 00:00:00+00:00,american,navy,3.79,-16,-1
2023-03-01 00:00:00+00:00,american,bucknell,2.97,5,1
2023-03-03 00:00:00+00:00,navy,american,2.21,-1,-1
2023-03-05 21:00:00+00:00,lafayette,american,2.21,8,1
2023-11-07 00:30:00+00:00,villanova,american,3.47,27,1
2023-11-14 00:00:00+00:00,american,siena,1.65,20,1
2023-11-17 00:00:00+00:00,american,njit,2.94,14,1
2023-12-02 19:00:00+00:00,american,saint francis,2.19,-2,-1
2023-12-07 00:00:00+00:00,saint joseph's,american,4.4,16,1
2023-12-09 18:00:00+00:00,vmi,american,1.47,-8,-1
2023-12-21 22:00:00+00:00,virginia tech,american,2.58,22,1
2023-12-30 00:30:00+00:00,umbc,american,3.15,-2,-1
2024-01-04 00:00:00+00:00,american,lehigh,2.0,9,1
2024-01-06 19:00:00+00:00,bucknell,american,3.35,-8,-1
2024-01-13 21:00:00+00:00,american,army,3.9,19,1
2024-01-25 00:00:00+00:00,american,holy cross,4.07,19,1
2024-01-27 21:00:00+00:00,american,colgate,3.28,-19,-1
2024-02-01 00:00:00+00:00,lafayette,american,2.01,-3,-1
2024-02-03 21:00:00+00:00,american,bucknell,2.65,9,1
2024-02-15 00:00:00+00:00,navy,american,4.5,-17,-1
2024-02-17 21:00:00+00:00,american,lafayette,3.99,-6,-1
2024-02-25 19:00:00+00:00,colgate,american,2.72,-2,-1
2024-02-28 21:00:00+00:00,army,american,2.1,-22,-1
2024-03-02 19:00:00+00:00,american,navy,1.5,-6,-1
2024-03-08 00:00:00+00:00,american,bucknell,2.65,-23,-1
2024-11-05 00:00:00+00:00,la salle,american,2.23,13,1
2024-11-10 19:00:00+00:00,american,harvard,1.48,12,1
2024-11-13 00:00:00+00:00,siena,american,3.39,8,1
2024-11-16 01:00:00+00:00,north carolina,american,4.65,52,1
2024-12-05 00:00:00+00:00,american,george washington,1.77,10,1
2024-12-19 00:00:00+00:00,saint joseph's,american,3.05,27,1
2024-12-22 19:00:00+00:00,virginia,american,2.27,5,1
2024-12-29 21:00:00+00:00,american,umbc,3.58,-3,-1
2023-01-08 22:00:00+00:00,arizona,washington,4.2,8,1
2023-01-13 02:00:00+00:00,oregon,arizona,1.78,-17,-1
2023-01-14 21:00:00+00:00,oregon,arizona,1.78,-5,-1
2023-01-20 03:30:00+00:00,arizona,ucla,4.87,-12,-1
2023-01-22 03:00:00+00:00,arizona,usc,3.85,-8,-1
2023-01-29 01:00:00+00:00,washington,arizona,1.8,17,1
2023-02-03 01:00:00+00:00,arizona,oregon,4.22,11,1
2023-02-05 03:00:00+00:00,arizona,oregon,4.22,-5,-1
2023-02-10 03:00:00+00:00,stanford,arizona,1.47,-4,-1
2023-02-12 01:00:00+00:00,california,arizona,1.25,-8,-1
2023-02-17 01:00:00+00:00,arizona,colorado,5.1,-8,-1
2023-02-18 23:00:00+00:00,arizona,utah,4.67,8,1
2023-02-25 19:00:00+00:00,arizona,arizona,3.38,-1,-1
2023-03-03 02:00:00+00:00,ucla,arizona,1.13,18,1
2023-03-10 04:47:00+00:00,usc,arizona,2.15,-5,-1
2023-03-11 04:44:00+00:00,arizona,arizona,3.38,19,1
2023-11-09 02:30:00+00:00,mississippi,arizona,1.47,15,1
2023-11-11 20:30:00+00:00,arizona,texas southern,3.39,11,1
2023-11-24 04:59:00+00:00,arizona,byu,3.41,-28,-1
2023-11-25 01:00:00+00:00,arizona,vanderbilt,3.92,15,1
2023-12-03 20:00:00+00:00,arizona,san francisco,3.41,11,1
2023-12-10 03:30:00+00:00,san diego,arizona,0.73,5,1
2023-12-17 03:00:00+00:00,tcu,arizona,2.75,20,1
2023-12-21 01:30:00+00:00,arizona,northwestern,4.46,-19,-1
2023-12-30 04:00:00+00:00,stanford,arizona,1.47,-3,-1
2024-01-01 01:00:00+00:00,california,arizona,0.72,-2,-1
2024-01-05 04:00:00+00:00,arizona,utah,5.08,12,1
2024-01-12 04:00:00+00:00,washington,arizona,1.91,15,1
2024-01-18 02:00:00+00:00,arizona,ucla,3.08,-2,-1
2024-01-20 19:15:00+00:00,arizona,usc,3.85,15,1
2024-01-26 02:00:00+00:00,oregon,arizona,1.73,19,1
2024-01-28 00:00:00+00:00,oregon,arizona,1.73,13,1
2024-02-02 02:00:00+00:00,arizona,stanford,4.79,-9,-1
2024-02-03 20:00:00+00:00,arizona,california,5.28,-15,-1
2024-02-09 01:00:00+00:00,colorado,arizona,2.08,12,1
2024-02-11 01:00:00+00:00,utah,arizona,0.92,-8,-1
2024-02-15 02:00:00+00:00,arizona,oregon,4.27,18,1
2024-02-18 02:30:00+00:00,arizona,arizona,3.38,45,1
2024-02-23 02:00:00+00:00,arizona,washington,4.09,-2,-1
2024-02-25 01:00:00+00:00,arizona,washington,4.09,12,1
2024-02-29 03:00:00+00:00,arizona,arizona,3.38,-18,-1
2024-03-08 04:00:00+00:00,usc,arizona,2.15,8,1
2024-03-10 04:00:00+00:00,ucla,arizona,2.92,12,1
2024-03-14 03:30:00+00:00,utah,arizona,0.92,33,1
2024-11-09 01:00:00+00:00,arizona,santa clara,4.03,7,1
2024-11-10 22:00:00+00:00,gonzaga,arizona,1.87,8,1
2024-11-15 02:00:00+00:00,arizona,grand canyon,1.66,11,1
2024-11-29 04:30:00+00:00,new mexico,arizona,2.29,-3,-1
2024-12-04 02:00:00+00:00,arizona,san diego,5.19,37,1
2024-12-14 20:45:00+00:00,florida,arizona,3.49,17,1
2024-12-21 21:10:00+00:00,massachusetts,arizona,2.87,-16,-1
2024-12-31 21:00:00+00:00,byu,arizona,1.45,20,1
2023-01-07 22:00:00+00:00,arizona,washington,4.2,-13,-1
2023-01-13 04:00:00+00:00,oregon,arizona,1.78,-12,-1
2023-01-14 23:05:00+00:00,oregon,arizona,1.78,19,1
2023-01-20 02:00:00+00:00,arizona,usc,3.85,15,1
2023-01-27 04:15:00+00:00,washington,arizona,1.8,-5,-1
2023-01-28 22:30:00+00:00,washington,arizona,1.8,-23,-1
2023-02-03 03:30:00+00:00,arizona,oregon,4.22,15,1
2023-02-05 02:30:00+00:00,arizona,oregon,4.22,32,1
2023-02-10 04:00:00+00:00,california,arizona,1.25,-23,-1
2023-02-12 01:00:00+00:00,stanford,arizona,1.47,9,1
2023-02-17 03:00:00+00:00,arizona,utah,4.67,26,1
2023-02-19 01:00:00+00:00,arizona,colorado,5.1,10,1
2023-03-03 04:00:00+00:00,usc,arizona,2.15,-6,-1
2023-03-05 03:00:00+00:00,ucla,arizona,1.13,9,1
2023-03-10 02:13:00+00:00,arizona,stanford,4.53,11,1
2023-03-12 03:40:00+00:00,ucla,arizona,1.13,-2,-1
2023-11-11 00:00:00+00:00,duke,arizona,1.61,-5,-1
2023-11-14 01:00:00+00:00,arizona,southern,3.35,38,1
2023-11-18 04:00:00+00:00,arizona,belmont,4.99,32,1
2023-11-19 23:00:00+00:00,arizona,ut arlington,4.42,45,1
2023-12-02 20:00:00+00:00,arizona,colgate,4.86,27,1
2023-12-09 20:15:00+00:00,arizona,wisconsin,5.12,25,1
2023-12-16 21:30:00+00:00,purdue,arizona,3.28,8,1
2023-12-23 20:00:00+00:00,arizona,florida atlantic,4.43,-1,-1
2023-12-30 03:30:00+00:00,california,arizona,1.25,-19,-1
2023-12-31 21:00:00+00:00,stanford,arizona,1.47,18,1
2024-01-05 02:45:00+00:00,arizona,colorado,3.92,47,1
2024-01-07 01:00:00+00:00,arizona,utah,5.08,19,1
2024-01-18 03:00:00+00:00,arizona,usc,3.85,15,1
2024-01-20 21:00:00+00:00,arizona,ucla,3.08,6,1
2024-01-27 22:30:00+00:00,oregon,arizona,1.73,-9,-1
2024-02-02 01:30:00+00:00,arizona,california,5.28,26,1
2024-02-05 01:00:00+00:00,arizona,stanford,4.79,11,1
2024-02-09 01:00:00+00:00,utah,arizona,0.92,-6,-1
2024-02-11 03:00:00+00:00,colorado,arizona,2.08,-20,-1
2024-02-23 04:00:00+00:00,arizona,washington,4.09,-3,-1
2024-02-24 19:00:00+00:00,arizona,washington,4.09,16,1
2024-03-02 19:00:00+00:00,arizona,oregon,4.27,20,1
2024-03-08 02:30:00+00:00,ucla,arizona,2.92,-23,-1
2024-03-10 03:00:00+00:00,usc,arizona,2.15,13,1
2024-03-14 19:00:00+00:00,arizona,usc,3.85,21,1
2024-03-16 00:00:00+00:00,arizona,oregon,4.27,-8,-1
2024-11-05 03:00:00+00:00,arizona,canisius,4.92,29,1
2024-11-09 21:00:00+00:00,arizona,old dominion,5.0,58,1
2024-11-16 02:00:00+00:00,wisconsin,arizona,2.49,15,1
2024-11-23 03:30:00+00:00,arizona,duke,3.42,-14,-1
2024-11-28 01:07:00+00:00,davidson,arizona,2.32,-33,-1
2024-11-29 20:00:00+00:00,west virginia,arizona,2.54,7,1
2024-12-07 19:00:00+00:00,arizona,southern utah,3.03,36,1
2024-12-14 20:00:00+00:00,arizona,ucla,3.08,-3,-1
2024-12-19 02:00:00+00:00,arizona,samford,3.03,32,1
2024-12-21 21:00:00+00:00,arizona,central michigan,4.97,53,1
