RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,WAB
83,George Washington,A10,31,17-14,"117.9
60","107.9
143",".7340
83","54.9
45","52.2
217","18.0
266","18.0
100","36.4
21","28.8
102","35.6
169","34.7
170","56.5
40","53.4
249","35.4
97","33.7
161","46.2
40","43.0
292","69.4
78","-7.2
149"
84,Mississippi,SEC,31,12-19,"114.0
97","104.4
83",".7321
84","50.2
227","51.1
161","14.2
26","16.9
161","28.9
239","32.9
296","34.1
205","41.1
309","50.6
232","51.2
150","33.0
230","34.0
172","36.3
244","42.8
284","65.9
266","-5.9
127"
85,Miami OH,MAC,31,31-0,"117.1
66","107.3
129",".7309
85","59.2
6","50.7
134","14.5
38","17.5
122","25.2
333","27.4
52","40.6
57","31.0
81","61.5
3","51.1
143","37.6
25","33.3
137","44.2
83","37.3
109","70.1
45","+3.4
27"
86,Creighton,BE,31,15-16,"115.9
77","106.3
108",".7298
86","53.5
86","51.3
170","16.6
172","14.2
329","27.7
276","29.9
150","27.4
346","24.0
4","54.6
68","50.6
120","35.0
121","35.3
258","48.0
24","32.4
13","67.2
188","-3.5
87"
87,Oregon,B10,31,12-19,"112.7
113","103.7
69",".7226
87","49.7
253","51.0
154","17.8
252","15.7
240","32.7
100","32.1
263","34.8
186","32.1
104","50.5
236","51.5
165","32.4
257","33.5
151","42.9
115","41.8
266","66.0
258","-5.6
119"
88,Wichita St.,Amer,31,21-10,"112.1
121","103.2
60",".7217
88","49.6
260","47.5
31","14.8
55","16.1
220","38.5
4","29.1
115","36.3
149","34.8
171","49.3
281","48.2
44","33.4
209","30.7
32","33.8
300","33.1
19","66.4
236","-3.4
86"
89,Utah Valley,WAC,31,24-7,"113.2
109","104.3
78",".7203
89","55.3
36","49.1
72","20.2
350","21.4
10","35.2
45","31.6
227","37.3
124","39.7
295","57.5
29","47.6
40","33.8
184","34.8
227","32.9
319","32.9
17","69.0
102","-2.0
75"
90,Colorado St.,MWC,31,20-11,"119.4
49","110.1
194",".7179
90","58.9
8","53.2
271","18.5
294","15.0
285","30.1
194","28.9
106","40.8
55","33.3
134","58.7
17","54.1
277","39.4
8","34.8
227","48.6
22","43.7
314","62.9
361","-2.6
78"
91,"Hofstra
   vs. 175 Towson",CAA,32,22-10,"113.7
100","105.1
90",".7121
91","51.9
157","45.9
11","16.1
138","15.2
270","34.4
63","30.5
186","32.5
246","35.6
196","48.9
289","44.1
3","37.1
29","32.3
79","43.2
106","41.1
239","64.9
308","-4.8
98"
92,Yale,Ivy,28,23-5,"118.5
54","109.7
184",".7084
92","56.1
26","51.8
201","14.2
26","16.6
180","32.8
95","28.3
76","36.3
149","27.9
30","54.0
89","51.8
182","40.0
3","34.6
217","35.9
253","44.9
331","65.1
304","-0.6
60"
93,High Point,BSth,34,30-4,"116.3
74","108.0
146",".7018
93","54.7
50","50.1
103","13.0
5","21.9
5","32.1
122","31.7
235","42.9
23","36.4
222","57.1
33","51.6
173","34.4
159","31.9
59","42.9
115","41.4
249","69.9
55","-1.3
66"
94,Saint Joseph's,A10,31,21-10,"108.8
177","101.4
38",".6924
94","49.4
272","47.4
29","16.9
185","15.2
270","31.2
155","30.9
198","30.6
294","26.8
17","52.5
153","47.1
30","30.5
331","31.9
59","45.8
49","39.6
189","68.2
132","-3.6
89"
95,Wyoming,MWC,31,18-13,"115.6
79","107.7
141",".6920
95","52.5
128","52.2
217","16.7
176","16.7
174","34.3
64","27.3
46","35.9
163","48.1
360","54.4
78","53.9
266","33.4
209","32.8
104","43.5
101","36.1
79","66.3
246","-4.5
95"
96,Davidson,A10,31,19-12,"111.5
130","104.0
74",".6913
96","53.0
110","50.6
127","16.1
138","17.7
114","28.8
241","30.2
165","32.0
258","36.5
224","52.2
163","51.9
187","36.0
59","32.4
81","43.7
97","37.1
103","63.8
343","-5.1
100"
97,Xavier,BE,31,14-17,"116.9
68","109.0
172",".6908
97","51.8
160","53.9
290","13.9
21","15.6
249","26.5
311","29.1
115","27.2
351","33.2
132","49.5
275","54.6
297","36.7
35","35.1
247","40.4
160","35.7
67","70.3
39","-5.1
102"
98,Mississippi St.,SEC,31,13-18,"113.8
98","106.5
112",".6823
98","51.7
166","51.0
154","16.1
138","12.9
358","30.0
200","30.8
197","30.9
288","32.2
106","53.7
97","51.1
143","32.6
248","33.8
165","40.3
163","39.3
178","69.4
73","-5.2
109"
